6.777012934471841277e+01,1.000000000000000000e+00,6.627412496609233017e+01,9.989999999999999991e-01,6.339384976604083022e+01,1.000000000000000000e+00,6.472129495918211717e+01,1.000000000000000000e+00
6.777012934471841277e+01,1.000000000000000000e+00,6.627412496609233017e+01,9.989999999999999991e-01,6.339384976604083022e+01,1.000000000000000000e+00,6.472129495918211717e+01,1.000000000000000000e+00
7.250621708295430778e+01,9.989999999999999991e-01,7.089437973117382796e+01,9.979999999999999982e-01,7.170218272250843938e+01,9.989999999999999991e-01,6.472129495918211717e+01,1.000000000000000000e+00
7.250621708295430778e+01,9.989999999999999991e-01,7.089437973117382796e+01,9.979999999999999982e-01,7.170218272250843938e+01,9.989999999999999991e-01,7.360926549518124773e+01,9.989999999999999991e-01
7.802767602229288002e+01,9.979999999999999982e-01,7.353670314816484677e+01,9.969999999999999973e-01,7.827281631570367892e+01,9.959999999999999964e-01,7.360926549518124773e+01,9.989999999999999991e-01
8.020025262258985776e+01,9.969999999999999973e-01,7.708014579408724387e+01,9.959999999999999964e-01,8.232771785951413790e+01,9.909999999999999920e-01,7.811782747248804526e+01,9.969999999999999973e-01
8.218571814155431809e+01,9.959999999999999964e-01,7.936800441159893182e+01,9.939999999999999947e-01,8.601754283027200643e+01,9.879999999999999893e-01,8.181150393792343323e+01,9.949999999999999956e-01
8.518058372913395715e+01,9.909999999999999920e-01,8.034016829661689485e+01,9.919999999999999929e-01,9.001029758916679668e+01,9.849999999999999867e-01,8.380076866599692664e+01,9.919999999999999929e-01
8.864335816634684306e+01,9.879999999999999893e-01,8.238634049454277886e+01,9.899999999999999911e-01,9.417021718493126059e+01,9.799999999999999822e-01,8.829762855952270684e+01,9.869999999999999885e-01
9.117099974563193143e+01,9.869999999999999885e-01,8.617349053660043978e+01,9.889999999999999902e-01,9.827480194165373462e+01,9.739999999999999769e-01,8.920705372308292169e+01,9.859999999999999876e-01
9.335535379903060971e+01,9.839999999999999858e-01,8.731033203712263457e+01,9.879999999999999893e-01,1.025919215671980993e+02,9.679999999999999716e-01,9.519593398724117606e+01,9.809999999999999831e-01
9.558230003537165942e+01,9.799999999999999822e-01,8.947538017170214175e+01,9.869999999999999885e-01,1.066627496078889408e+02,9.609999999999999654e-01,9.751424767204163402e+01,9.779999999999999805e-01
9.977263938206570515e+01,9.749999999999999778e-01,9.386651858457555875e+01,9.819999999999999840e-01,1.114032006421490451e+02,9.569999999999999618e-01,1.016291729020847043e+02,9.709999999999999742e-01
1.029227381385958182e+02,9.659999999999999698e-01,9.658408841885751883e+01,9.749999999999999778e-01,1.166441980944060930e+02,9.489999999999999547e-01,1.047997728181755406e+02,9.669999999999999707e-01
1.058042861010751494e+02,9.589999999999999636e-01,9.948033840778538206e+01,9.669999999999999707e-01,1.225788526143070527e+02,9.410000000000000586e-01,1.085033233328934159e+02,9.649999999999999689e-01
1.095649607964739829e+02,9.499999999999999556e-01,1.023541334759609640e+02,9.639999999999999680e-01,1.279487861401533166e+02,9.220000000000000417e-01,1.132773403958236713e+02,9.579999999999999627e-01
1.129625123086444773e+02,9.370000000000000551e-01,1.043014411393735372e+02,9.569999999999999618e-01,1.338541124633561594e+02,9.110000000000000320e-01,1.172979407770463354e+02,9.509999999999999565e-01
1.164146775383786832e+02,9.260000000000000453e-01,1.081850542488316194e+02,9.529999999999999583e-01,1.395450546162948910e+02,8.960000000000000187e-01,1.204437445153557036e+02,9.459999999999999520e-01
1.196717533800631088e+02,9.200000000000000400e-01,1.114806387495550837e+02,9.449999999999999512e-01,1.455153664748302731e+02,8.900000000000000133e-01,1.257354166270032323e+02,9.370000000000000551e-01
1.238219469144438136e+02,9.100000000000000311e-01,1.142649723864601583e+02,9.399999999999999467e-01,1.523197220521476254e+02,8.760000000000000009e-01,1.299007194452873080e+02,9.310000000000000497e-01
1.272502675412314943e+02,8.980000000000000204e-01,1.177395188143962201e+02,9.280000000000000471e-01,1.593265943880752502e+02,8.579999999999999849e-01,1.351791454533478429e+02,9.200000000000000400e-01
1.314224674386329355e+02,8.880000000000000115e-01,1.210883342508255112e+02,9.150000000000000355e-01,1.665499019032261288e+02,8.419999999999999707e-01,1.400618670034141360e+02,9.070000000000000284e-01
1.348963292513941781e+02,8.709999999999999964e-01,1.244470679680774055e+02,9.080000000000000293e-01,1.742255104821523730e+02,8.289999999999999591e-01,1.441531731654175132e+02,8.990000000000000213e-01
1.397528427709228538e+02,8.569999999999999840e-01,1.277137944080287610e+02,8.940000000000000169e-01,1.821335654923441894e+02,8.069999999999999396e-01,1.499320292363395026e+02,8.830000000000000071e-01
1.439933236798816836e+02,8.369999999999999662e-01,1.320276589405330014e+02,8.719999999999999973e-01,1.884413440813873706e+02,7.969999999999999307e-01,1.550371221802054436e+02,8.719999999999999973e-01
1.482544449163169418e+02,8.169999999999999485e-01,1.357825177743154654e+02,8.469999999999999751e-01,1.987586076999608622e+02,7.770000000000000240e-01,1.605106503057064629e+02,8.659999999999999920e-01
1.529502541936426212e+02,7.960000000000000409e-01,1.391483784217768971e+02,8.349999999999999645e-01,2.078132387853559351e+02,7.520000000000000018e-01,1.668079726160487155e+02,8.509999999999999787e-01
1.576626475919632071e+02,7.740000000000000213e-01,1.436760385108802041e+02,8.209999999999999520e-01,2.165570861872785429e+02,7.349999999999999867e-01,1.727270875948827324e+02,8.269999999999999574e-01
1.620118888820237544e+02,7.570000000000000062e-01,1.473130010580261740e+02,8.060000000000000497e-01,2.269098354623692728e+02,7.179999999999999716e-01,1.788367288996902573e+02,8.120000000000000551e-01
