6.149650507663410870e-02,9.932707750040709049e-01,1.875269516035848738e-01,2.959613385550192710e-01,9.437462090942980719e-01,1.548435584674802135e-01
1.798771709262282359e-01,9.618662160204387579e-01,1.785128246106126582e-01,3.851989853186172930e-01,8.782027451726851508e-01,1.535523332173610866e-01
2.982578367758224047e-01,9.441728106385460784e-01,3.111683610591101656e-01,4.744366320822153149e-01,7.589136030338188288e-01,1.362289670279268894e-01
4.166385026254165180e-01,8.070526084055354987e-01,1.315654950630814890e-01,5.636742788458133369e-01,6.671684111992749466e-01,9.337499078228826688e-02
5.350191684750107424e-01,6.817965986356323560e-01,9.530238242298531837e-02,6.529119256094113588e-01,5.560011429355512513e-01,7.670600286484979824e-02
6.533998343246048002e-01,5.941435446587454150e-01,1.406268115800139440e-01,7.421495723730092697e-01,4.631136678290704856e-01,1.256543081342597901e-01
7.717805001741988580e-01,4.150067271406049918e-01,1.300317865881201740e-01,8.313872191366071807e-01,2.920171338844970155e-01,6.014903937563658570e-02
8.901611660237931378e-01,2.153008404714091828e-01,3.963929991859508478e-02,9.206248659002052026e-01,1.625238393390538993e-01,2.509040366697271734e-02
1.008541831873387196e+00,9.277642360142288047e-02,1.308301224891644972e-02,1.009862512663803225e+00,8.220949344266126335e-02,8.736936358273765524e-03
1.126922497722981475e+00,4.626734147478115539e-02,2.111924052869556222e-03,1.099100159427401247e+00,4.676650025695261448e-02,1.910221311335100420e-03
